Item_ID,Item_Name1,Department__,Major_Dept,Category,Sub_Category
61770         ,MOUNTAIN PARMIGIANO REGGIANO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61679         ,PARMIGIANO REGGIANO STRAVECCHIO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61237         ,GRATED REGGIANO PARMIGIANO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-GRATED
61466         ,PARMIGIANO REGGIANO CUBES,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61680         ,CARAMELIZED WALNUTS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-NUTS
61005         ,PISTACHIO CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61022         ,PISTACHIO CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61004         ,HORSERADISH CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61467         ,PISTACHIO CHEDDAR TORTA,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61566         ,PECORINO MATRU,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61379         ,WHITE CHEDDAR W/ CRANBERRIES,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61641         ,UG COLBY JACK CUBES,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61312         ,YELLOW CHEDDAR W/CRANBERRIES,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61010         ,YELLOW CHEDDAR SPREAD,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61879         ,WHITE CHEDDAR SPREAD W ALMONDS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61185         ,WHITE CHEDDAR SPREAD W/ WALNUTS,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61315         ,HRSRDSH BCN W HERB DE PROVENCE,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61514         ,GARLIC & HERB CHEDDAR W PARSLEY,61,CHEESE,DOMESTIC,DOMESTIC-SPREADABLE
61215         ,HORSERADISH BACON CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61188         ,GARLIC & HERB W/ CHIVES,61,CHEESE,DOMESTIC,DOMESTIC-SPREADABLE
61023         ,GARLIC & HERB CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61386         ,GRLC HRB & BCN HRSRDSH W CHIVES,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61545         ,PECORINO BISLACCO RUM E TABACCO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61184         ,PORT WNE CHEDDAR W HNY RST CSHWS,61,CHEESE,DOMESTIC,DOMESTIC-SPREADABLE
61186         ,PORT WINE W/ DRIED CRANBER TORTA,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61009         ,PORT WINE CHEDDAR SPREAD,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61108         ,PORT WINE CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61749         ,BLUE CHEESE CHEDDAR,61,CHEESE,BLUE,BLUE DOMESTIC
61929         ,PINK CHAMPAGNE CHEDDAR,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61470         ,BRUNELLI RICOTTA SALATA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61311         ,PINK CHAMPAGNE W/ WALNUTS,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61003         ,PINK CHAMPAGNE CHEDDAR SPRD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61142         ,PROVOLONE & CHIANTI CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61037         ,PROVOLONE & CHIANTI W CRNBRY,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61521         ,PROVOLONE CHIANTI PISTACHIO TORTA,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61489         ,"""PORT WINE W CRNBRY,PSTCHO & WLNT""",61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61079         ,SMOKED GOUDA (DUTCH),61,CHEESE,GOUDA,GOUDA-IMPORTED
61538         ,SMOKED GOUDA W/ GARDEN HERBS,61,CHEESE,GOUDA,GOUDA-IMPORTED
61568         ,LA NOIX,61,CHEESE,FRENCH,FRENCH-SUPPLE
61605         ,BLUE CHEESE SALAD TOPPER,61,CHEESE,BLUE,BLUE DOMESTIC
61122         ,BAKED LEMON RICOTTA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61293         ,IRISH CAHILL W/ GUINESS STOUT,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61820         ,FROMAGER DAFFINOIS BLEU,61,CHEESE,BRIE,BRIE-IMPORTED
61500         ,CHAUBIER (GOAT & COW),61,CHEESE,FRENCH,FRENCH-SOFT RIPENED
61966         ,NETTLE MEADOW FARM KUNIK,61,CHEESE,BRIE,BRIE-DOMESTIC
61402         ,MONTAGNOLO (TRIPLE CREME BLUE),61,CHEESE,BLUE,BLUE IMPORTED
61280         ,NY SHARP WHITE CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61043         ,DANISH DILL HAVARTI,61,CHEESE,JACK,JACK-IMPORTED
61042         ,DANISH JALAPENO HAVARTI,61,CHEESE,JACK,JACK-IMPORTED
61033         ,GORGONZOLA DOLCE (ITALY),61,CHEESE,BLUE,BLUE IMPORTED
61034         ,ITALIAN MOUNTAIN GORGONZOLA,61,CHEESE,BLUE,BLUE IMPORTED
61048         ,DANISH BLUE,61,CHEESE,BLUE,BLUE IMPORTED
61050         ,DANISH BUTTERMILK BLUE,61,CHEESE,BLUE,BLUE IMPORTED
61052         ,SHROPSHIE BLUE (ENGLAND),61,CHEESE,BLUE,BLUE IMPORTED
61056         ,HUNTSMAN (STILTON&GLOUSTER),61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61058         ,FRENCH SAINT AGUR,61,CHEESE,BLUE,BLUE IMPORTED
61155         ,DOMESTIC CREAMY GORGONZOLA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61195         ,MAYTAG BLUE,61,CHEESE,BLUE,BLUE DOMESTIC
61219         ,DOMESTIC CRUMBLY GORGONZOLA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61234         ,DOMESTIC CRUMBLY GORGONZOLA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61275         ,MARSCAPONE & GORGANZOLA TORTA,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61341         ,CRUMBLED BLUE CHEESE,61,CHEESE,BLUE,BLUE DOMESTIC
61378         ,BRIE W/ GORGANZOLA,61,CHEESE,BRIE,BRIE-IMPORTED
61412         ,IRISH CASHEL BLUE,61,CHEESE,BLUE,BLUE IMPORTED
61537         ,MOODY BLUE (SMOKED BUTTERMILK),61,CHEESE,BLUE,BLUE DOMESTIC
61792         ,CAMBOZOLA GRAND NOIR,61,CHEESE,BLUE,BLUE IMPORTED
61162         ,CRUMBLED GORGONZOLA,61,CHEESE,BLUE,BLUE IMPORTED
61051         ,FRUITY GORGONZOLA,61,CHEESE,BLUE,BLUE DOMESTIC
61480         ,BLUE CHEESE SALAD TOPPER,61,CHEESE,BLUE,BLUE DOMESTIC
61012         ,AURICCHIO PROVOLONE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61013         ,AURICCHIO PROVOLONE STRAVECCHIO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61017         ,GRANA PADANO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61026         ,ASIAGO VECCHIO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61027         ,ASIAGO FRESCO (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61028         ,ASIAGO MEZZANO (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61029         ,BEL PAESE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61030         ,FONTINA VAL D' AOSTA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61031         ,ITALIAN FONTINA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61032         ,TALEGGIO (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61035         ,PIAVE MENZZANO (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61036         ,MONTASIO (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61038         ,BLACK DIAMOND 3 YR OLD CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61039         ,CANADIAN OKA,61,CHEESE,DOMESTIC,DOMESTIC-SOFT
61040         ,DANISH PLAIN HAVARTI,61,CHEESE,JACK,JACK-DOMESTIC
61044         ,CUBED DOMESTIC PROVOLONE,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61045         ,CUBED EXTRA SHARP UNLCE G PROVOLONE,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61047         ,DANISH FONTINA,61,CHEESE,GOUDA,GOUDA-IMPORTED
61126         ,BELGIOIOSO PROVOLONE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61167         ,LE ROULE CRANBERRY,61,CHEESE,GOAT,GOAT-IMPORTED
61014         ,SPECIAL RESERVE EXTRA SHARP PROVOLONE AGED 24 MONTHS,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
X61223        ,CHIMAY GRAND CRU,61,CHEESE,BRIE,BRIE-IMPORTED
X61370        ,CHIMAY A LA BIERRE,61,CHEESE,BRIE,BRIE-IMPORTED
61228         ,GERMAN BEER KASE,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-MISC
61318         ,SAGE DERBY,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61273         ,MASCARPONE SUNDRIED TOM TORTA,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61279         ,ASSORTED CHEESE PARTY MIX,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61078         ,GALBANI CREME BEL PAES 5PK,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61100         ,EMMENTHALER  (SWITZERLAND),61,CHEESE,SWISS,SWISS-IMPORTED
61182         ,CANTAL (FRANCE),61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61193         ,SCAMORZA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61210         ,REGGIANITO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61220         ,SICILIAN CACIOCAVALLO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61222         ,AUSTRALIAN CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61235         ,SMOKED SCAMORZA (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61263         ,VERMONT EXTRA SHARP CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61264         ,CABOT XTRA SHARP CHEDDAR CHEESE,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61265         ,HAND CRAFTED HOLIDAY TORTA,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
